Protein,+s,-s,Q60
CHEMBL3066,302,454,7.85
CHEMBL261,2469,3703,6.55
CHEMBL281,483,726,7.38
CHEMBL205,2828,4242,7.57
CHEMBL3729,471,707,6.49
CHEMBL4789,198,304,6.4
CHEMBL3969,174,262,7.18
CHEMBL3510,278,419,7.33
CHEMBL3025,153,243,5.89
CHEMBL3594,2014,3037,7.46
CHEMBL2326,493,740,7.58
CHEMBL3242,1575,2374,7.71
CHEMBL1075138,4630,7527,4.8
CHEMBL3912,139,214,7.0
CHEMBL3589,177,266,7.14
CHEMBL1997,95,142,6.86
CHEMBL4040,1222,1836,8.45
CHEMBL2292,674,1017,7.47
CHEMBL4079,151,230,6.47
CHEMBL3571,594,903,7.54
CHEMBL5373,186,278,7.6
CHEMBL218,1486,2234,7.26
CHEMBL221,562,845,5.41
CHEMBL230,1430,2158,6.38
CHEMBL4093,305,457,6.84
CHEMBL2808,279,450,6.7
CHEMBL204,1950,2930,6.89
CHEMBL253,1783,2693,7.29
CHEMBL3691,333,500,6.7
CHEMBL3229,734,1112,7.34
CHEMBL3314,89,135,5.77
CHEMBL255,711,1069,7.44
CHEMBL251,1795,2708,7.05
CHEMBL5776,96,148,6.72
CHEMBL318,1098,1664,6.77
CHEMBL226,1704,2570,6.78
CHEMBL3360,140,210,6.74
CHEMBL302,680,1025,6.64
CHEMBL1782,120,183,6.16
CHEMBL283,769,1155,7.16
CHEMBL4393,240,360,7.37
CHEMBL325,2074,3158,6.96
CHEMBL2756,83,134,6.24
CHEMBL220,1999,3049,6.41
CHEMBL1293224,17485,31830,4.9
CHEMBL1293254,15556,26476,4.6
CHEMBL1914,1171,1761,6.19
CHEMBL2039,1509,2272,6.11
CHEMBL4617,80,120,6.0
CHEMBL1163125,1609,2420,6.72
CHEMBL5957,102,158,7.75
CHEMBL4625,437,673,7.22
CHEMBL3072,214,321,6.95
CHEMBL244,2277,3459,7.54
CHEMBL4618,231,349,7.11
CHEMBL267,1262,1893,6.76
CHEMBL4835,201,308,6.06
CHEMBL4822,3021,4639,7.0
CHEMBL240,3338,5158,5.52
CHEMBL3464,262,395,5.26
CHEMBL4005,2313,3514,7.17
CHEMBL203,2727,4141,7.1
CHEMBL321,1038,1568,7.58
CHEMBL1841,126,188,6.16
CHEMBL2069156,140,211,6.58
CHEMBL3514,173,263,7.75
CHEMBL6032,159,248,6.5
CHEMBL6007,190,284,6.84
CHEMBL2842,1723,2616,7.68
CHEMBL6175,170,308,6.0
CHEMBL4361,534,802,6.24
CHEMBL1916,248,382,7.0
CHEMBL3699,100,164,4.79
CHEMBL5445,159,241,5.0
CHEMBL2598,161,405,6.0
CHEMBL258,689,1035,7.0
CHEMBL2993,353,533,6.34
CHEMBL2409,896,1370,7.8
CHEMBL3559,188,285,6.77
CHEMBL5747,219,329,6.01
CHEMBL335,1292,1938,5.45
CHEMBL4481,342,519,6.16
CHEMBL1899,280,421,8.17
CHEMBL3286,418,640,6.19
CHEMBL3568,439,667,6.28
CHEMBL4803,257,391,5.1
CHEMBL2695,592,889,7.04
CHEMBL2189121,167,250,6.51
CHEMBL2079846,154,233,7.6
CHEMBL4895,299,456,7.0
CHEMBL2781,88,132,6.59
CHEMBL3807,296,448,5.31
CHEMBL3166,84,125,5.05
CHEMBL4696,170,259,4.79
CHEMBL1951,973,1469,5.42
CHEMBL4506,279,426,5.28
CHEMBL4462,341,511,5.43
CHEMBL2176771,447,684,7.16
CHEMBL231,466,702,7.14
CHEMBL2047,432,655,6.43
CHEMBL3401,114,182,5.96
CHEMBL1833,528,793,6.92
CHEMBL3943,132,198,6.88
CHEMBL287,1019,1541,7.62
CHEMBL3371,1436,2160,7.84
CHEMBL3155,1002,1524,7.35
CHEMBL3223,174,272,7.37
CHEMBL224,1729,2630,7.5
CHEMBL3426,125,192,6.75
CHEMBL273,1674,2527,7.62
CHEMBL1898,384,577,7.39
CHEMBL214,1813,2755,7.58
CHEMBL1983,466,701,8.13
CHEMBL3199,542,820,6.6
CHEMBL4802,122,184,4.92
CHEMBL3048,236,359,6.8
CHEMBL4204,316,476,7.92
CHEMBL4718,180,270,6.74
CHEMBL2366,118,183,5.18
CHEMBL3180,98,146,6.47
CHEMBL2265,137,208,6.77
CHEMBL3117,80,120,5.86
CHEMBL3459,146,220,6.4
CHEMBL213,360,539,6.41
CHEMBL322,725,1101,7.3
CHEMBL324,216,323,7.05
CHEMBL225,1157,1741,7.0
CHEMBL313,1461,2210,7.33
CHEMBL228,1800,2756,7.52
CHEMBL4768,165,263,7.0
CHEMBL4303,220,333,6.66
CHEMBL1075145,154,230,6.54
CHEMBL215,666,1002,6.1
CHEMBL4685,807,1213,6.49
CHEMBL5896,114,171,6.08
CHEMBL5697,350,528,6.21
CHEMBL3028,138,209,6.46
CHEMBL4892,92,137,8.18
CHEMBL4198,560,857,6.55
CHEMBL5462,235,353,7.83
